序號,答案
20240515094001,1234.37
20240515095001,1097.61
20240515100001,1010.05
20240515101001,1058.4
20240515102001,921.22
20240515103001,877.2
20240515104001,956.64
20240515105001,1330.26
20240515110001,1404.29
20240515111001,1232.15
20240515112001,1489.54
20240515113001,1395.36
20240515114001,1320.05
20240515115001,1209.41
20240515120001,1385.0
20240515121001,1553.47
20240515122001,1532.31
20240515123001,1491.96
20240515124001,1046.89
20240515125001,1495.75
20240515130001,1297.22
20240515131001,1502.72
20240515132001,1194.43
20240515133001,883.87
20240515134001,456.73
20240515135001,715.63
20240515140001,354.86
20240515141001,203.17
20240515142001,171.73
20240515143001,143.59
20240515144001,144.44
20240515145001,109.65
20240515150001,102.71
20240515151001,67.12
20240515152001,43.34
20240515153001,50.99
20240515154001,30.59
20240515155001,27.13
20240515160001,28.68
20240515161001,25.32
20240515162001,12.19
20240515163001,15.42
20240515164001,9.93
20240515165001,2.35
20240520090001,380.55
20240520091001,355.49
20240520092001,382.91
20240520093001,317.12
20240520094001,195.5
20240520095001,142.17
20240520100001,111.89
20240520101001,158.72
20240520102001,172.71
20240520103001,151.53
20240520104001,210.09
20240520105001,250.31
20240520110001,204.85
20240520111001,238.18
20240520112001,219.26
20240520113001,136.38
20240520114001,115.52
20240520115001,135.15
20240520120001,246.67
20240520121001,174.65
20240520122001,146.27
20240520123001,69.51
20240520124001,85.49
20240520125001,116.9
20240520130001,117.72
20240520131001,96.95
20240520132001,74.99
20240520133001,56.5
20240520134001,32.69
20240520135001,51.08
20240520140001,68.32
20240520141001,54.53
20240520142001,61.26
20240520143001,62.38
20240520144001,68.6
20240520145001,50.18
20240520150001,111.21
20240520151001,89.02
20240520152001,53.06
20240520153001,27.47
20240520154001,24.37
20240520155001,22.87
20240520160001,15.54
20240520161001,19.38
20240520162001,9.09
20240520163001,11.17
20240520164001,0.0
20240520165001,0.79
20240613090001,34.16
20240613091001,41.33
20240613092001,52.34
20240613093001,93.4
20240613094001,84.92
20240613095001,107.77
20240613100001,197.73
20240613101001,198.86
20240613102001,460.94
20240613103001,421.57
20240613104001,251.99
20240613105001,236.16
20240613110001,392.49
20240613111001,350.26
20240613112001,501.12
20240613113001,684.91
20240613114001,780.83
20240613115001,921.23
20240613120001,863.09
20240613121001,1023.52
20240613122001,759.7
20240613123001,855.57
20240613124001,717.98
20240613125001,552.37
20240613130001,1084.2
20240613131001,1025.87
20240613132001,1009.48
20240613133001,106.25
20240613134001,889.5
20240613135001,950.28
20240613140001,591.78
20240613141001,353.65
20240613142001,631.41
20240613143001,75.16
20240613144001,20.67
20240613145001,65.08
20240613150001,46.42
20240613151001,63.23
20240613152001,50.91
20240613153001,90.61
20240613154001,69.84
20240613155001,164.5
20240613160001,127.98
20240613161001,58.55
20240613162001,45.45
20240613163001,13.21
20240613164001,34.78
20240613165001,16.26
20240615090001,545.36
20240615091001,597.64
20240615092001,494.63
20240615093001,577.74
20240615094001,642.03
20240615095001,748.42
20240615100001,812.5
20240615101001,1031.22
20240615102001,919.53
20240615103001,905.07
20240615104001,829.94
20240615105001,874.25
20240615110001,985.51
20240615111001,942.43
20240615112001,990.27
20240615113001,944.03
20240615114001,1083.92
20240615115001,1159.05
20240615120001,1040.6
20240615121001,1030.96
20240615122001,1084.97
20240615123001,1147.57
20240615124001,1143.27
20240615125001,1141.84
20240615130001,1130.86
20240615131001,1002.13
20240615132001,773.19
20240615133001,712.32
20240615134001,783.23
20240615135001,776.98
20240615140001,603.57
20240615141001,567.36
20240615142001,446.02
20240615143001,299.27
20240615144001,201.62
20240615145001,243.72
20240615150001,306.46
20240615151001,283.61
20240615152001,297.37
20240615153001,245.52
20240615154001,176.34
20240615155001,170.46
20240615160001,153.39
20240615161001,94.48
20240615162001,131.08
20240615163001,65.75
20240615164001,61.1
20240615165001,31.59
20240703090001,388.8
20240703091001,779.35
20240703092001,900.31
20240703093001,954.97
20240703094001,981.35
20240703095001,678.67
20240703100001,382.6
20240703101001,377.93
20240703102001,541.4
20240703103001,807.95
20240703104001,1171.13
20240703105001,1118.6
20240703110001,1236.47
20240703111001,1209.8
20240703112001,995.83
20240703113001,1306.11
20240703114001,1230.69
20240703115001,1293.84
20240703120001,1272.67
20240703121001,1229.71
20240703122001,1175.03
20240703123001,1272.45
20240703124001,1179.27
20240703125001,1148.45
20240703130001,1117.75
20240703131001,1028.51
20240703132001,931.48
20240703133001,977.14
20240703134001,907.94
20240703135001,804.35
20240703140001,752.77
20240703141001,667.71
20240703142001,602.3
20240703143001,573.52
20240703144001,507.21
20240703145001,415.7
20240703150001,405.64
20240703151001,345.56
20240703152001,305.17
20240703153001,255.17
20240703154001,179.76
20240703155001,42.68
20240703160001,65.12
20240703161001,37.52
20240703162001,49.28
20240703163001,9.54
20240703164001,32.19
20240703165001,12.69
20240707090001,796.24
20240707091001,887.73
20240707092001,934.57
20240707093001,1027.25
20240707094001,1052.39
20240707095001,1096.34
20240707100001,1159.05
20240707101001,1201.76
20240707102001,1240.99
20240707103001,1139.67
20240707104001,1227.93
20240707105001,1205.36
20240707110001,812.72
20240707111001,1127.26
20240707112001,1256.91
20240707113001,1287.54
20240707114001,1261.59
20240707115001,1287.64
20240707120001,1270.93
20240707121001,1238.93
20240707122001,1244.54
20240707123001,1220.58
20240707124001,1203.98
20240707125001,1186.49
20240707130001,1154.23
20240707131001,1056.8
20240707132001,1021.16
20240707133001,975.04
20240707134001,920.26
20240707135001,895.29
20240707140001,729.08
20240707141001,712.59
20240707142001,556.31
20240707143001,570.99
20240707144001,566.6
20240707145001,587.5
20240707150001,406.37
20240707151001,365.64
20240707152001,136.95
20240707153001,80.04
20240707154001,68.9
20240707155001,110.54
20240707160001,39.68
20240707161001,61.13
20240707162001,24.01
20240707163001,22.36
20240707164001,6.95
20240707165001,0.0
20240125090002,18.63
20240125091002,21.85
20240125092002,28.46
20240125093002,33.91
20240125094002,34.12
20240125095002,55.11
20240125100002,30.08
20240125101002,28.24
20240125102002,22.98
20240125103002,44.73
20240125104002,45.63
20240125105002,84.52
20240125110002,72.99
20240125111002,104.11
20240125112002,130.8
20240125113002,134.01
20240125114002,158.89
20240125115002,149.9
20240125120002,167.83
20240125121002,164.33
20240125122002,77.75
20240125123002,99.51
20240125124002,68.9
20240125125002,96.39
20240125130002,56.49
20240125131002,65.04
20240125132002,29.48
20240125133002,53.34
20240125134002,45.92
20240125135002,29.48
20240125140002,27.14
20240125141002,10.01
20240125142002,0.0
20240125143002,2.65
20240125144002,13.9
20240125145002,0.0
20240125150002,9.31
20240125151002,5.34
20240125152002,12.02
20240125153002,0.0
20240125154002,7.53
20240125155002,1.06
20240125160002,13.17
20240125161002,14.65
20240125162002,13.31
20240125163002,17.96
20240125164002,13.19
20240125165002,0.0
20240128090002,7.21
20240128091002,2.52
20240128092002,10.75
20240128093002,18.52
20240128094002,40.35
20240128095002,60.85
20240128100002,17.19
20240128101002,21.58
20240128102002,22.9
20240128103002,22.6
20240128104002,24.75
20240128105002,41.63
20240128110002,23.15
20240128111002,33.45
20240128112002,29.49
20240128113002,44.76
20240128114002,32.95
20240128115002,61.74
20240128120002,48.27
20240128121002,38.01
20240128122002,52.37
20240128123002,61.74
20240128124002,40.09
20240128125002,34.42
20240128130002,30.66
20240128131002,6.38
20240128132002,12.9
20240128133002,16.92
20240128134002,21.04
20240128135002,17.45
20240128140002,17.37
20240128141002,10.36
20240128142002,6.27
20240128143002,19.92
20240128144002,31.88
20240128145002,27.63
20240128150002,14.64
20240128151002,10.73
20240128152002,26.54
20240128153002,6.1
20240128154002,33.38
20240128155002,26.71
20240128160002,16.65
20240128161002,0.0
20240128162002,5.81
20240128163002,9.04
20240128164002,22.57
20240128165002,0.0
20240213090002,939.84
20240213091002,1117.28
20240213092002,1269.69
20240213093002,1382.87
20240213094002,1482.14
20240213095002,1556.65
20240213100002,1752.74
20240213101002,1864.33
20240213102002,1864.24
20240213103002,1912.67
20240213104002,1894.48
20240213105002,1829.06
20240213110002,2131.61
20240213111002,2089.32
20240213112002,2016.87
20240213113002,2004.14
20240213114002,2047.99
20240213115002,2129.87
20240213120002,1870.87
20240213121002,1784.62
20240213122002,1639.23
20240213123002,1276.24
20240213124002,1043.99
20240213125002,1605.37
20240213130002,650.72
20240213131002,276.91
20240213132002,241.78
20240213133002,154.79
20240213134002,130.51
20240213135002,179.54
20240213140002,200.67
20240213141002,174.37
20240213142002,156.12
20240213143002,99.32
20240213144002,144.45
20240213145002,124.4
20240213150002,69.74
20240213151002,76.51
20240213152002,73.19
20240213153002,59.59
20240213154002,35.24
20240213155002,38.44
20240213160002,38.66
20240213161002,19.58
20240213162002,16.72
20240213163002,14.37
20240213164002,19.44
20240213165002,25.72
20240226090002,73.58
20240226091002,86.02
20240226092002,94.6
20240226093002,80.98
20240226094002,90.15
20240226095002,111.49
20240226100002,128.1
20240226101002,134.8
20240226102002,162.39
20240226103002,182.86
20240226104002,180.25
20240226105002,190.58
20240226110002,113.97
20240226111002,87.18
20240226112002,71.0
20240226113002,67.25
20240226114002,60.93
20240226115002,45.48
20240226120002,44.59
20240226121002,39.43
20240226122002,28.9
20240226123002,63.52
20240226124002,53.62
20240226125002,41.74
20240226130002,41.57
20240226131002,44.08
20240226132002,44.06
20240226133002,29.75
20240226134002,53.54
20240226135002,26.34
20240226140002,18.89
20240226141002,9.22
20240226142002,11.71
20240226143002,9.98
20240226144002,12.36
20240226145002,10.95
20240226150002,0.0
20240226151002,2.27
20240226152002,3.97
20240226153002,1.66
20240226154002,0.0
20240226155002,1.71
20240226160002,7.24
20240226161002,12.73
20240226162002,0.0
20240226163002,0.0
20240226164002,6.4
20240226165002,0.0
20240319090002,8.84
20240319091002,2.98
20240319092002,7.66
20240319093002,10.29
20240319094002,7.33
20240319095002,7.83
20240319100002,21.89
20240319101002,41.16
20240319102002,38.32
20240319103002,28.63
20240319104002,35.39
20240319105002,35.32
20240319110002,34.22
20240319111002,54.81
20240319112002,41.97
20240319113002,40.75
20240319114002,27.24
20240319115002,20.97
20240319120002,33.86
20240319121002,41.83
20240319122002,32.81
20240319123002,43.56
20240319124002,37.45
20240319125002,34.96
20240319130002,17.99
20240319131002,21.29
20240319132002,15.87
20240319133002,28.88
20240319134002,22.23
20240319135002,12.83
20240319140002,13.23
20240319141002,22.27
20240319142002,10.34
20240319143002,10.9
20240319144002,4.44
20240319145002,14.41
20240319150002,8.55
20240319151002,11.05
20240319152002,5.67
20240319153002,12.35
20240319154002,1.29
20240319155002,0.0
20240319160002,8.53
20240319161002,0.06
20240319162002,4.69
20240319163002,19.83
20240319164002,0.53
20240319165002,0.01
20240427090002,106.87
20240427091002,83.8
20240427092002,59.31
20240427093002,68.27
20240427094002,105.37
20240427095002,100.42
20240427100002,67.52
20240427101002,85.09
20240427102002,120.97
20240427103002,164.32
20240427104002,169.94
20240427105002,168.01
20240427110002,169.76
20240427111002,175.39
20240427112002,157.49
20240427113002,186.42
20240427114002,149.88
20240427115002,116.04
20240427120002,99.55
20240427121002,129.55
20240427122002,128.83
20240427123002,133.85
20240427124002,126.94
20240427125002,94.98
20240427130002,197.51
20240427131002,196.84
20240427132002,133.57
20240427133002,231.82
20240427134002,424.23
20240427135002,302.13
20240427140002,243.8
20240427141002,241.28
20240427142002,197.76
20240427143002,152.77
20240427144002,193.2
20240427145002,164.77
20240427150002,243.04
20240427151002,190.05
20240427152002,110.64
20240427153002,72.78
20240427154002,65.93
20240427155002,67.01
20240427160002,107.89
20240427161002,109.5
20240427162002,62.06
20240427163002,39.33
20240427164002,73.8
20240427165002,17.33
20240508090002,229.19
20240508091002,126.87
20240508092002,118.42
20240508093002,127.41
20240508094002,121.5
20240508095002,125.93
20240508100002,92.81
20240508101002,156.97
20240508102002,113.47
20240508103002,45.88
20240508104002,32.41
20240508105002,66.87
20240508110002,56.28
20240508111002,38.61
20240508112002,100.8
20240508113002,73.54
20240508114002,63.1
20240508115002,113.68
20240508120002,161.38
20240508121002,144.87
20240508122002,208.92
20240508123002,80.98
20240508124002,25.25
20240508125002,21.2
20240508130002,22.84
20240508131002,8.68
20240508132002,7.25
20240508133002,32.09
20240508134002,24.99
20240508135002,10.34
20240508140002,22.02
20240508141002,34.52
20240508142002,69.98
20240508143002,25.1
20240508144002,14.47
20240508145002,8.5
20240508150002,3.33
20240508151002,6.68
20240508152002,1.18
20240508153002,0.24
20240508154002,0.0
20240508155002,0.0
20240508160002,0.0
20240508161002,0.0
20240508162002,4.69
20240508163002,2.49
20240508164002,0.0
20240508165002,0.0
20240705090002,713.71
20240705091002,783.98
20240705092002,840.95
20240705093002,874.92
20240705094002,921.94
20240705095002,981.14
20240705100002,1027.66
20240705101002,1051.76
20240705102002,1160.25
20240705103002,1102.89
20240705104002,1187.03
20240705105002,580.93
20240705110002,846.58
20240705111002,179.56
20240705112002,429.7
20240705113002,1214.23
20240705114002,1259.41
20240705115002,1237.1
20240705120002,1251.71
20240705121002,1090.48
20240705122002,1237.87
20240705123002,1111.72
20240705124002,1141.04
20240705125002,1075.85
20240705130002,1051.66
20240705131002,992.52
20240705132002,945.36
20240705133002,916.29
20240705134002,858.62
20240705135002,809.33
20240705140002,733.6
20240705141002,729.84
20240705142002,608.07
20240705143002,400.68
20240705144002,527.36
20240705145002,211.77
20240705150002,268.2
20240705151002,302.91
20240705152002,256.07
20240705153002,209.96
20240705154002,11.49
20240705155002,0.94
20240705160002,16.45
20240705161002,0.7
20240705162002,18.06
20240705163002,8.49
20240705164002,1.58
20240705165002,5.32
20240707090002,662.16
20240707091002,766.25
20240707092002,787.16
20240707093002,910.93
20240707094002,932.68
20240707095002,956.82
20240707100002,1006.82
20240707101002,1058.63
20240707102002,1086.9
20240707103002,1058.51
20240707104002,1160.45
20240707105002,1155.21
20240707110002,944.65
20240707111002,1057.32
20240707112002,1206.87
20240707113002,1169.02
20240707114002,1208.07
20240707115002,1202.25
20240707120002,1185.36
20240707121002,1173.44
20240707122002,1168.9
20240707123002,1126.39
20240707124002,1086.21
20240707125002,1083.75
20240707130002,1062.23
20240707131002,1027.42
20240707132002,976.96
20240707133002,925.19
20240707134002,862.31
20240707135002,813.26
20240707140002,769.41
20240707141002,723.6
20240707142002,594.6
20240707143002,566.05
20240707144002,576.04
20240707145002,568.14
20240707150002,455.6
20240707151002,377.39
20240707152002,134.07
20240707153002,61.11
20240707154002,54.33
20240707155002,88.01
20240707160002,12.04
20240707161002,58.41
20240707162002,12.4
20240707163002,0.0
20240707164002,0.0
20240707165002,0.0
20240317090003,1137.72
20240317091003,1286.47
20240317092003,1427.45
20240317093003,1454.35
20240317094003,1529.41
20240317095003,1683.52
20240317100003,1785.36
20240317101003,1730.29
20240317102003,1828.06
20240317103003,1770.89
20240317104003,1780.99
20240317105003,1864.25
20240317110003,1888.11
20240317111003,1872.22
20240317112003,1541.91
20240317113003,1490.78
20240317114003,1470.1
20240317115003,771.92
20240317120003,1186.17
20240317121003,593.1
20240317122003,346.92
20240317123003,368.75
20240317124003,384.18
20240317125003,375.86
20240317130003,291.63
20240317131003,240.19
20240317132003,243.97
20240317133003,283.56
20240317134003,298.52
20240317135003,248.67
20240317140003,195.19
20240317141003,145.73
20240317142003,108.93
20240317143003,97.65
20240317144003,126.87
20240317145003,83.54
20240317150003,69.31
20240317151003,86.76
20240317152003,80.3
20240317153003,63.84
20240317154003,97.87
20240317155003,92.74
20240317160003,73.52
20240317161003,63.12
20240317162003,45.64
20240317163003,40.57
20240317164003,34.08
20240317165003,49.64
20240414090003,906.48
20240414091003,1034.66
20240414092003,1094.93
20240414093003,1166.66
20240414094003,1170.99
20240414095003,1282.12
20240414100003,1255.29
20240414101003,1319.1
20240414102003,1327.37
20240414103003,1378.95
20240414104003,1351.4
20240414105003,1340.62
20240414110003,1414.04
20240414111003,1413.99
20240414112003,1303.27
20240414113003,1604.52
20240414114003,1585.79
20240414115003,1273.77
20240414120003,969.74
20240414121003,803.04
20240414122003,754.89
20240414123003,1075.39
20240414124003,803.91
20240414125003,784.68
20240414130003,783.86
20240414131003,762.13
20240414132003,581.23
20240414133003,516.89
20240414134003,552.94
20240414135003,732.5
20240414140003,274.17
20240414141003,246.43
20240414142003,228.17
20240414143003,292.68
20240414144003,207.01
20240414145003,189.48
20240414150003,173.01
20240414151003,131.67
20240414152003,91.26
20240414153003,87.08
20240414154003,89.3
20240414155003,47.87
20240414160003,85.67
20240414161003,46.17
20240414162003,25.4
20240414163003,55.3
20240414164003,48.08
20240414165003,21.26
20240524090003,130.48
20240524091003,119.16
20240524092003,191.68
20240524093003,227.3
20240524094003,232.24
20240524095003,405.64
20240524100003,211.06
20240524101003,161.02
20240524102003,227.19
20240524103003,218.73
20240524104003,185.88
20240524105003,195.32
20240524110003,280.04
20240524111003,189.58
20240524112003,276.4
20240524113003,421.5
20240524114003,299.62
20240524115003,197.38
20240524120003,178.18
20240524121003,224.82
20240524122003,297.33
20240524123003,272.01
20240524124003,404.1
20240524125003,593.25
20240524130003,681.96
20240524131003,438.8
20240524132003,350.78
20240524133003,239.32
20240524134003,205.76
20240524135003,113.44
20240524140003,44.32
20240524141003,39.38
20240524142003,31.2
20240524143003,24.58
20240524144003,7.57
20240524145003,18.19
20240524150003,8.04
20240524151003,0.0
20240524152003,0.62
20240524153003,4.55
20240524154003,3.8
20240524155003,11.43
20240524160003,5.31
20240524161003,0.98
20240524162003,4.43
20240524163003,0.0
20240524164003,0.0
20240524165003,0.0
20240526090003,243.88
20240526091003,288.36
20240526092003,456.01
20240526093003,758.63
20240526094003,641.21
20240526095003,694.22
20240526100003,871.14
20240526101003,663.71
20240526102003,468.63
20240526103003,354.72
20240526104003,324.34
20240526105003,215.66
20240526110003,272.23
20240526111003,287.64
20240526112003,320.85
20240526113003,290.48
20240526114003,324.21
20240526115003,245.06
20240526120003,280.2
20240526121003,257.65
20240526122003,281.3
20240526123003,261.86
20240526124003,227.63
20240526125003,197.94
20240526130003,148.3
20240526131003,135.38
20240526132003,121.35
20240526133003,107.13
20240526134003,105.47
20240526135003,120.74
20240526140003,86.05
20240526141003,93.65
20240526142003,118.97
20240526143003,93.66
20240526144003,94.07
20240526145003,86.75
20240526150003,70.88
20240526151003,61.33
20240526152003,66.18
20240526153003,62.6
20240526154003,62.98
20240526155003,59.62
20240526160003,37.08
20240526161003,40.67
20240526162003,32.08
20240526163003,39.09
20240526164003,46.74
20240526165003,19.72
20240603090003,51.1
20240603091003,62.08
20240603092003,74.82
20240603093003,75.95
20240603094003,68.04
20240603095003,88.86
20240603100003,70.83
20240603101003,54.99
20240603102003,75.74
20240603103003,85.54
20240603104003,136.91
20240603105003,148.88
20240603110003,76.83
20240603111003,81.74
20240603112003,67.55
20240603113003,63.63
20240603114003,98.87
20240603115003,101.08
20240603120003,132.22
20240603121003,111.71
20240603122003,230.27
20240603123003,119.22
20240603124003,128.39
20240603125003,168.19
20240603130003,113.53
20240603131003,140.69
20240603132003,108.0
20240603133003,101.07
20240603134003,88.73
20240603135003,51.58
20240603140003,86.01
20240603141003,60.33
20240603142003,92.04
20240603143003,50.39
20240603144003,46.39
20240603145003,44.0
20240603150003,39.12
20240603151003,26.75
20240603152003,13.14
20240603153003,19.05
20240603154003,1.84
20240603155003,0.0
20240603160003,13.58
20240603161003,4.64
20240603162003,0.0
20240603163003,0.0
20240603164003,13.59
20240603165003,0.65
20240620090003,936.01
20240620091003,992.35
20240620092003,677.89
20240620093003,1048.05
20240620094003,1000.37
20240620095003,919.09
20240620100003,1070.73
20240620101003,1198.54
20240620102003,1025.04
20240620103003,765.85
20240620104003,784.43
20240620105003,740.4
20240620110003,1274.04
20240620111003,1597.85
20240620112003,1504.52
20240620113003,1401.55
20240620114003,1590.32
20240620115003,1507.92
20240620120003,1429.45
20240620121003,1469.14
20240620122003,1523.75
20240620123003,1493.59
20240620124003,1482.0
20240620125003,1391.58
20240620130003,1308.92
20240620131003,1279.55
20240620132003,1308.64
20240620133003,1006.95
20240620134003,998.54
20240620135003,916.21
20240620140003,846.22
20240620141003,632.02
